and000im_gft_amulet             Tevinter Chantry Amulet
and000ip_amulet_container       Chest
and100cr_anders                 Anders
and110cr_angry_refugee          Angry Refugee
and110cr_street_archer          Refugee Bowman
and110cr_street_thug            Refugee
and111ar_andersshop             Lirene's Fereldan Imports
and111cr_lirene                 Lirene
and111cr_refugee_1              Refugee
and111cr_refugee_2              Refugee
and111cr_refugee_boy            Child
and111cr_refugee_girl           Child
and111cr_shopgirl               Shop Girl
and111ip_at_lowtown             Lowtown
and111ip_donation_box           Donation Box
and111ip_store_lirene           Lirene's Fereldan Imports
and121ar_chantry                The Chantry
and121cr_karl                   Karl
and121im_alrik_letter           Ser Alrik's Letter
and130ip_anders_door            Door
and211ar_andersshop             Lirene's Fereldan Imports
and211ip_store_lirene           Lirene's Fereldan Imports
and230cr_mage_girl              Circle Mage Ella
and230cr_ser_alrik              Ser Alrik
and230cr_templar                Templar
and230cr_templar2               Templar Archer
and230cr_templar3               Templar Hunter
and230ip_at_dungeon             Gallows Dungeon
and231ar_gallowsbasement        Gallows Dungeon
and231cr_lyrium_archer          Lyrium Smuggler Archer
and231cr_lyrium_smuggler        Lyrium Smuggler Foreman
and231cr_lyrium_smuggler2       Dwarf Mercenary
and231cr_lyrium_smuggler3       Pit Boss
and231cr_smuggler               Lyrium Smuggler
and231im_alrik_papers           Alrik's Papers
and231ip_at_darktown            Darktown
and231ip_loot_1                 Chest
and231ip_tomb                   Corrupted Grave
and311ar_andersshop             Lirene's Fereldan Imports
and311ip_store_lirene           Lirene's Fereldan Imports
and330ip_at_sewers              Sewers
and330ip_sal_petrae             Sela Petrae Deposit
and331ar_sewers                 The Sewers
and331ip_at_darktown            Darktown
and331ip_loot_1                 Chest
and340ip_at_mines               Drakestone Mines
and340ip_brimstone              Drakestone Deposit
and341ar_mines                  Drakestone Mines
and341ip_at_bonepit             The Bone Pit
and341ip_loot_corpse_1          Corpse
and341ip_loot_corpse_2          Corpse
andcr_templar_captain           Templar Lieutenant
and_templar_1                   Templar
and_templar_2                   Templar
and_templar_3                   Templar
and_templar_4                   Templar Archer
ave000im_gft_shield             Shield of the Knight Herself
ave000ip_shield_container       Crate
ave100ar_patrol                 Sundermount Ambush Site
ave100cr_donnic                 Guardsman Donnic
ave100cr_raider_assassin        Raider Assassin
ave110cr_dbandit_leader         Coterie Leader
ave110cr_donnic_bandit_f        Coterie Thug
ave110cr_donnic_bandit_m        Coterie Thug
ave121cr_brennan                Guardsman Brennan
ave121cr_jeven                  Captain Jeven
ave121ip_captain_door           Door
ave121ip_duty_roster            Duty Roster
ave151cr_ambush_bandit_f        Raider
ave151cr_ambush_bandit_m        Raider
ave200cr_donnic                 Guardsman Donnic
ave200im_donnic_gift            Copper Marigolds
ave221cr_brennan                Guardsman Brennan
ave221ip_duty_roster            Duty Roster
ave260cr_bandit                 Raider
ave260cr_beast                  Mabari
ave260cr_smuggler               Slaver
ave260ip_signal_fire1           Signal Fire
ave260ip_signal_fire2           Signal Fire
ave260ip_signal_fire3           Signal Fire
ave300cr_donnic                 Guardsman Donnic
ave310cr_bandit_f               Coterie Thug
ave310cr_bandit_m               Coterie Thug
ave310cr_brennan                Guardsman Brennan
ave310cr_guard_f                City Guardsman
ave310cr_guard_m                City Guardsman
ave310_gen_guardsman            City Guardsman
ave321cr_gen_guardsman          City Guardsman
ave321cr_guardsman1             City Guardsman
ave321cr_guardsman2             City Guardsman
ave321cr_guardsman3             City Guardsman
ave321cr_guardsman4             City Guardsman
ave321cr_guardswoman            City Guardsman
ave321cr_jeven_loyalist         Jeven Loyalist
ave330ip_chest                  Chest
ave331cr_insurgent_f            Insurgent
ave331cr_insurgent_f2           Insurgent
ave331cr_insurgent_f3           Insurgent
ave331cr_insurgent_guard        Insurgent Guard
ave331cr_insurgent_guard2       Insurgent Guard
ave331cr_insurgent_guard3       Insurgent Guard
ave331cr_insurgent_guard4       Insurgent Guard
ave331cr_insurgent_m            Insurgent
ave331cr_insurgent_m2           Insurgent
ave331cr_insurgent_m3           Insurgent
ave331cr_jeven                  Jeven
bet131ip_chest_gift             Chest
car131ip_chest_gift             Chest
clf221cr_jalen                  Jalen
clf260cr_fell_orden             Fell Orden
clf260cr_guard1                 City Guardsman
clf260cr_guard2                 City Guardsman
clf260cr_guard3                 City Guardsman
clf260cr_harley                 Lieutenant Harley
clf360cr_evets                  Evets
clf360cr_evets_archer           Archer
clf360cr_evets_thug             Thug
dae000cr_adriano                Adriano
dae000cr_arishok                Arishok
dae000cr_brat                   Sabina's Brat
dae000cr_brothel_orana          Orana
dae000cr_cassandra              Cassandra
dae000cr_cerimon                Cerimon
dae000cr_chandan                Chandan
dae000cr_chanter                Chanter Taletha
dae000cr_commoner_d1            Dwarf Commoner
dae000cr_commoner_d2            Dwarf Commoner
dae000cr_commoner_d3            Dwarf Commoner
dae000cr_commoner_f1            Commoner
dae000cr_commoner_f2            Commoner
dae000cr_commoner_m1            Commoner
dae000cr_commoner_m2            Commoner
dae000cr_cora                   Cora
dae000cr_dalish_apprentice1     Dalish Apprentice
dae000cr_dalish_apprentice2     Dalish Apprentice
dae000cr_denier                 Denier
dae000cr_epi_inquisition        Guard
dae000cr_fenarel                Fenarel
dae000cr_fereldan_f             Fereldan
dae000cr_flemeth                Flemeth
dae000cr_flemeth2               Flemeth
dae000cr_gamlen                 Gamlen
dae000cr_gossip_old_m1          Gossip
dae000cr_gossip_old_m2          Gossip
dae000cr_grand_cleric           Grand Cleric Elthina
dae000cr_harshal                Harshal
dae000cr_ilen                   Master Ilen
dae000cr_ineria                 Ineria
dae000cr_junar                  Junar
dae000cr_katriela               Katriela
dae000cr_lady_elegant           Lady Elegant
dae000cr_leonato                Leonato
dae000cr_loyal_mage_amb         Mage
dae000cr_mage_jaken             Mage
dae000cr_mage_unhappy           Mage
dae000cr_maren                  Maren
dae000cr_marethari              Keeper Marethari
dae000cr_merchant_access        Trinketsmonger
dae000cr_merchant_armor         Armorer
dae000cr_merchant_generic       Merchant
dae000cr_merchant_mage          Tranquil
dae000cr_merchant_rare          Shady Merchant
dae000cr_merchant_tailor        Tailor
dae000cr_merchant_wandering     Merchant
dae000cr_merchant_weapons       Weaponsmith
dae000cr_mother                 Mother
dae000cr_orana                  Orana
dae000cr_osric                  Osric
dae000cr_paivel                 Hahren Paivel
dae000cr_pickpocket             Pickpocket
dae000cr_pickpocket_victim      Victim
dae000cr_pol                    Pol
dae000cr_porfiria               Porfiria
dae000cr_quintus                Quintus
dae000cr_radha                  Radha
dae000cr_serendipity            Serendipity
dae000cr_shopper_f              Shopper
dae000cr_shopper_m              Shopper
dae000cr_templar_knight         Templar
dae000cr_templar_recruit        Recruit
dae000cr_templar_wandering      Templar
dae000cr_tomwise                Tomwise
dae000cr_tranquil               Tranquil
dae000cr_tranquil_em            Tranquil
dae000cr_varric_cuts            Varric
dae000cr_worthy                 Worthy
dae000ip_exit_gamlen_house      Leave Home
dae000ip_exit_player_house      Leave Home
dae000ip_party_picker           Gather Your Party
dae000ip_show_world_map         Leave Area
dae000ip_show_world_map_l       Leave Area
dae00cr_madam_lusine            Madam Lusine
dae010cr_joker1                 Dockworker
dae010cr_joker2                 Dockworker
dae010cr_joker3                 Dockworker
dae010cr_laborer                Dockworker
dae010cr_overseer               Overseer
dae010cr_sailor_f               Sailor
dae010cr_sailor_m               Sailor
dae010cr_worker_elf_m           Dockworker
dae010cr_worker_m               Dockworker
dae010_alienage_elf_f1          Elven Woman
dae010_alienage_elf_f2          Elven Woman
dae010_alienage_elf_m1          Elven Man
dae010_alienage_elf_m2          Elven Man
dae010_arguing_female           Commoner
