speaker,text,dialogtype,quest_displayname,quest_name,questfile,speaker_unit,unitfile,raw_text
Felicia,"You seem weary - perhaps you are in need of a fresh perspective. If you so desire, I can allow you to retrace your steps with all of the knowledge you currently possess. Simply ask, and I can show you the way!",complete,The Adventure Continues,global_newgameplus,QUESTS/GLOBAL_NEWGAMEPLUS.DAT,RETIREMENTCHARACTERQUEST,MEDIA/UNITS/MONSTERS/NPC/RETIREMENTCHARACTERQUEST.DAT,"You seem weary - perhaps you are in need of a fresh perspective. If you so desire, I can allow you to retrace your steps with all of the knowledge you currently possess. Simply ask, and I can show you the way!"
Bounty Board,"BOUNTY!
The Sturmbeorn raiders are a threat to the Estherian people and to the brave settlers of the Empire. Commander Vale is authorized to pay a reward to anyone who assists the Vanquisher Corps in ridding the Temple Steppes of these savage brutes.
This bounty shall be paid to anyone who slays 10 or more Sturmbeorn in the Temple Steppes.",intro,Bounty: Sturmbeorn!,a1z1-bountyboard2,QUESTS/A1Z1-BOUNTYBOARD2.DAT,BOUNTYBOARD,MEDIA/UNITS/MONSTERS/BOUNTYBOARD/BOUNTYBOARD.DAT,BOUNTY!\n\nThe Sturmbeorn raiders are a threat to the Estherian people and to the brave settlers of the Empire. Commander Vale is authorized to pay a reward to anyone who assists the Vanquisher Corps in ridding the |cFFA1D0FCTemple Steppes|u of these savage brutes.\n\nThis bounty shall be paid to anyone who slays 10 or more |cFFA1D0FCSturmbeorn|u in the |cFFA1D0FCTemple Steppes|u.
Bounty Board,"The Sturmbeorn have been conducting raids in northeastern Vilderan for generations. However, their current leader, General Grell, has brought them together in unprecedented numbers. So long as Grell and his Sturmbeorn are able to roam the area freely, the Temple Steppes will not be safe for either the Estherians or the Empire's subjects settling in Vilderan.",return,Bounty: Sturmbeorn!,a1z1-bountyboard2,QUESTS/A1Z1-BOUNTYBOARD2.DAT,BOUNTYBOARD,MEDIA/UNITS/MONSTERS/BOUNTYBOARD/BOUNTYBOARD.DAT,"The Sturmbeorn have been conducting raids in northeastern Vilderan for generations. However, their current leader, General Grell, has brought them together in unprecedented numbers. So long as Grell and his Sturmbeorn are able to roam the area freely, the Temple Steppes will not be safe for either the Estherians or the Empire's subjects settling in Vilderan."
Bounty Board,"The Empire thanks you for your valuable service, and wishes to reward you!",complete,Bounty: Sturmbeorn!,a1z1-bountyboard2,QUESTS/A1Z1-BOUNTYBOARD2.DAT,BOUNTYBOARD,MEDIA/UNITS/MONSTERS/BOUNTYBOARD/BOUNTYBOARD.DAT,"The Empire thanks you for your valuable service, and wishes to reward you!"
,"Kill 10 Sturmbeorn in the Temple Steppes, then return to the Bounty Board in the Estherian Enclave for your reward.",details,Bounty: Sturmbeorn!,a1z1-bountyboard2,QUESTS/A1Z1-BOUNTYBOARD2.DAT,,,"Kill 10 |cFFA1D0FCSturmbeorn|u in the |cFFA1D0FCTemple Steppes|u, then return to the |cFFA1D0FCBounty Board|u in the |cFFA1D0FCEstherian Enclave|u for your reward."
,- Kill [DEFEAT1COUNT]/[DEFEATCOUNT] Sturmbeorn in the Temple Steppes,huddetails,Bounty: Sturmbeorn!,a1z1-bountyboard2,QUESTS/A1Z1-BOUNTYBOARD2.DAT,,,- Kill [DEFEAT1COUNT]/[DEFEATCOUNT] |cFFA1D0FCSturmbeorn|u in the |cFFA1D0FCTemple Steppes|u
,- Return to Bounty Board in Estherian Enclave for reward,huddetails_complete,Bounty: Sturmbeorn!,a1z1-bountyboard2,QUESTS/A1Z1-BOUNTYBOARD2.DAT,,,- Return to |cFFA1D0FCBounty Board|u in |cFFA1D0FCEstherian Enclave|u for reward
Bounty Board,"BOUNTY!
Commander Vale of the Vanquisher Corps is offering a reward to anyone who can help thin out the packs of Warbeasts hampering colonization and defense efforts in Estheria.
This reward shall be paid to anyone who slays 10 or more Warbeasts in the Temple Steppes.",intro,Bounty: Warbeasts!,a1z1-BountyBoard1,QUESTS/BOUNTYBOARD1.DAT,BOUNTYBOARD,MEDIA/UNITS/MONSTERS/BOUNTYBOARD/BOUNTYBOARD.DAT,BOUNTY!\n\nCommander Vale of the Vanquisher Corps is offering a reward to anyone who can help thin out the packs of |cFFA1D0FCWarbeasts|u hampering colonization and defense efforts in Estheria.\n\nThis reward shall be paid to anyone who slays 10 or more |cFFA1D0FCWarbeasts|u in the |cFFA1D0FCTemple Steppes|u.
Bounty Board,"Packs of Warbeasts infest certain key areas of the Temple Steppes. The invading Sturmbeorn armies use the Warbeasts as shock troops in their war against the Estherian people, hindering efforts to settle the area. The Empire needs capable adventurers to dispatch these beasts and pave the way for colonization efforts.",return,Bounty: Warbeasts!,a1z1-BountyBoard1,QUESTS/BOUNTYBOARD1.DAT,BOUNTYBOARD,MEDIA/UNITS/MONSTERS/BOUNTYBOARD/BOUNTYBOARD.DAT,"Packs of Warbeasts infest certain key areas of the Temple Steppes. The invading Sturmbeorn armies use the Warbeasts as shock troops in their war against the Estherian people, hindering efforts to settle the area. The Empire needs capable adventurers to dispatch these beasts and pave the way for colonization efforts."
Bounty Board,"The Empire is grateful, and wishes to reward you for your valuable service!",complete,Bounty: Warbeasts!,a1z1-BountyBoard1,QUESTS/BOUNTYBOARD1.DAT,BOUNTYBOARD,MEDIA/UNITS/MONSTERS/BOUNTYBOARD/BOUNTYBOARD.DAT,"The Empire is grateful, and wishes to reward you for your valuable service!"
